name,id,brewer,alcohol_by_volume,style,category,country
Brockton Black Lager,3132,Granville Island Brewing,6.5,German-Style Schwarzbier,German Lager,Canada
Cold Cock Porter (discontinued),3242,Big Rock Brewery,0.0,Porter,Irish Ale,Canada
Premium Light,3384,Niagara Falls Brewing,0.0,American-Style Pale Ale,North American Ale,Canada
#17 Cream Ale,3774,Big Ridge Brewing,0.0,American-Style Lager,North American Lager,Canada
Molson Canadian,3836,Molson Breweries of Canada,5.0,American-Style Lager,North American Lager,Canada
Quelque Chose,40,Unibroue,8.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Canada
Haupenthal Hefeweizen,647,Dockside Brewing,4.8000001907,South German-Style Hefeweizen,German Ale,Canada
Auburn Ale,1206,Cameron's Brewing,5.0,American-Style Amber/Red Ale,North American Ale,Canada
Full Moon Winter Ale,27,Molson Breweries of Canada,5.5999999046,Other Belgian-Style Ales,Belgian and French Ale,Canada
Original Dark,1725,Sleeman Brewing & Malting,0.0,American-Style Lager,North American Lager,Canada
Gritstone Premium Ale,1508,Niagara Falls Brewing,0.0,American-Style Brown Ale,North American Ale,Canada
Labatt Crystal,3857,Labatt Ontario Breweries,5.0,American-Style Lager,North American Lager,Canada
Labatt Sterling,3863,Labatt Ontario Breweries,4.0,American-Style Light Lager,North American Lager,Canada
Mad Scow Stout,621,Taylor's Crossing Brewing,0.0,American-Style Stout,North American Ale,Canada
Red Truck Ale,622,Taylor's Crossing Brewing,0.0,American-Style Amber/Red Ale,North American Ale,Canada
Dominion Lager,625,Taylor's Crossing Brewing,0.0,American-Style Lager,North American Lager,Canada
Old Bridge Dark Lager,648,Dockside Brewing,5.3000001907,American-Style Lager,North American Lager,Canada
Black Irish Plain Porter,2035,Scotch Irish Brewing,0.0,Porter,Irish Ale,Canada
Blitzen Christmas Ale,4445,Steamworks,8.5,Fruit Beer,Other Style,Canada
Premium Lager,2626,Brick Brewing,0.0,American-Style Lager,North American Lager,Canada
Springboard Lager,600,Central City Brewing Company,0.0,American-Style Lager,North American Lager,Canada
Light Lager,601,Big Ridge Brewing,0.0,American-Style Lager,North American Lager,Canada
Nut Brown Ale,609,Big River Brewing,0.0,American-Style Brown Ale,North American Ale,Canada
Pilsner,612,Big River Brewing,0.0,NA,NA,Canada
Pale Ale,618,R&B; Brewing,0.0,American-Style Pale Ale,North American Ale,Canada
Honey Brown,629,Dix Barbecue & Brewery,0.0,American-Style Lager,North American Lager,Canada
Pale Ale,634,Marine Pub & Brewhouse,0.0,American-Style Pale Ale,North American Ale,Canada
Blonde Draft,639,Mission Springs Brewing,4.8000001907,NA,NA,Canada
Kitsilano Maple Cream Ale,643,Granville Island Brewing Company,5.0,American-Style Lager,North American Lager,Canada
Cypress Honey Lager,644,Granville Island Brewing Company,4.6999998093,American-Style Lager,North American Lager,Canada
Clover Pale Ale,604,Big Ridge Brewing,0.0,American-Style Pale Ale,North American Ale,Canada
Blonde Ale,615,Russell Brewing,0.0,NA,NA,Canada
Game Day,631,Dix Barbecue & Brewery,0.0,NA,NA,Canada
Hefeweizen,640,Granville Island Brewing Company,0.0,South German-Style Hefeweizen,German Ale,Canada
Island Lager,641,Granville Island Brewing Company,5.0,American-Style Lager,North American Lager,Canada
English Bay Pale Ale,642,Granville Island Brewing Company,5.0,American-Style Pale Ale,North American Ale,Canada
1837,1991,Unibroue,7.0,Other Belgian-Style Ales,Belgian and French Ale,Canada
Premium Dark,2669,Lwenbru Munich,0.0,NA,NA,Canada
Don De Dieu,4043,Unibroue,9.0,Belgian-Style Tripel,Belgian and French Ale,Canada
Iceberg Copper Bock,598,Central City Brewing Company,0.0,Traditional German-Style Bock,German Lager,Canada
Old Sullivan Porter,602,Big Ridge Brewing,0.0,Porter,Irish Ale,Canada
Red Truck Ale,632,Dix Barbecue & Brewery,0.0,American-Style Amber/Red Ale,North American Ale,Canada
Rickard's Pale Ale,4900,Molson Breweries of Canada,0.0,American-Style India Pale Ale,North American Ale,Canada
Labatt Blue,3853,Labatt Ontario Breweries,4.6999998093,American-Style Lager,North American Lager,Canada
Vienna Lager,611,Big River Brewing,0.0,American-Style Lager,North American Lager,Canada
Downtown Brown,627,Yaletown Brewing,0.0,American-Style Brown Ale,North American Ale,Canada
Tropical Lager,628,Dix Barbecue & Brewery,0.0,American-Style Lager,North American Lager,Canada
Cream Ale,638,Mission Springs Brewing,4.8000001907,American-Style Lager,North American Lager,Canada
Steelhead Stout,597,Central City Brewing Company,0.0,American-Style Stout,North American Ale,Canada
Boomers Red Ale,599,Central City Brewing Company,0.0,NA,NA,Canada
Dry Stout,607,Big River Brewing,0.0,American-Style Stout,North American Ale,Canada
Blonde Ale,613,Big River Brewing,0.0,NA,NA,Canada
Pale Ale,617,Russell Brewing,0.0,American-Style Pale Ale,North American Ale,Canada
Baden Powell Cream Ale,624,Taylor's Crossing Brewing,0.0,American-Style Lager,North American Lager,Canada
Yippee IPA,626,Yaletown Brewing,0.0,American-Style India Pale Ale,North American Ale,Canada
India Pale Ale,636,Mission Springs Brewing,5.8000001907,American-Style Pale Ale,North American Ale,Canada
Island Lager,641,Granville Island Brewing Company,5.0,American-Style Lager,North American Lager,Canada
Terrible,876,Unibroue,10.5,Other Belgian-Style Ales,Belgian and French Ale,Canada
